"omikuji_code","created_date","AUTHOR","update_date","CHANGER","GAKUMON","AKINAI","NEGAIGOTO","unsei_code"
"4","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","繁盛","遅くに叶う","04"
"40","2023/12/22","kumakiri","2023/12/22","kumakiri","明日やろうはばかやろう、今日やろう","縁を大切に","叶う","02"
"41","2023/12/22","kumakiri","2023/12/22","kumakiri","高望みは禁物","1つ1つ頑張っていこう","叶う","03"
"42","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","良い顧客に当たる","長年の夢が叶う","04"
"43","2023/12/22","kumakiri","2023/12/22","kumakiri","情報の精査をしっかりと","騙されないように、いい話には注意せよ","叶い難し","06"
"44","2023/12/22","kumakiri","2023/12/22","kumakiri","実力を試す時","困ることなし","叶う","01"
"45","2023/12/22","kumakiri","2023/12/22","kumakiri","ライバルの存在が鍵に","トラブルを回避せよ","願えば叶う","02"
"46","2023/12/22","kumakiri","2023/12/22","kumakiri","目標を行動にうつすと吉","高望みはせず、着実に","遅くに叶う","03"
"47","2023/12/22","kumakiri","2023/12/22","kumakiri","一本集中","たまには息抜きを","この先運勢が上がってくる","04"
"48","2023/12/22","kumakiri","2023/12/22","kumakiri","覚悟を決めて臨むべし","おいしい話に注意","叶わぬ","06"
"49","2023/12/22","kumakiri","2023/12/22","kumakiri","勉強習慣を定着させよ","起死回生できる","断捨離で運気をあげよう","06"
"5","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","少し努力が必要","遅くに叶う","05"
"50","2023/12/22","kumakiri","2023/12/22","kumakiri","勉強習慣をつけると直良","思い通りにいく","叶う","01"
"6","2023/12/22","kumakiri","2023/12/22","kumakiri","努力が報われる","少し努力が必要","遅くに叶う","06"
"7","2023/12/22","kumakiri","2023/12/22","kumakiri","最後まで諦めない","工夫次第","遅くに叶う","06"
"8","2023/12/22","kumakiri","2023/12/22","kumakiri","粘れ","工夫次第","叶いづらい","05"
"9","2023/12/22","kumakiri","2023/12/22","kumakiri","地に足をつけよ","少し繁盛","強く願うと叶う","04"
